101T5,LT,40
102T5,LT,40
103T5,LT,40
104T5,LT,40
105T5,LT,40
106T5,LT,40
107T5,LT,40
108T5,LT,40
109T5,LT,40
110T5,LT,40
201T5,LT,40
202T5,LT,40
203T5,LT,40
204T5,LT,40
205T5,LT,40
206T5,LT,40
207T5,LT,40
208T5,LT,40
209T5,LT,40
210T5,LT,40
301T5,LT,40
302T5,LT,40
303T5,LT,40
304T5,LT,40
305T5,LT,40
306T5,LT,40
307T5,LT,40
308T5,LT,40
309T5,LT,40
310T5,LT,40
401T5,LT,40
402T5,LT,40
403T5,LT,40
404T5,LT,40
405T5,LT,40
406T5,LT,40
407T5,LT,40
408T5,LT,40
409T5,LT,40
410T5,LT,40
501T5,PM,40
502T5,PM,40
503T5,PM,40
504T5,PM,40
505T5,PM,40
506T5,PM,40
507T5,PM,40
508T5,PM,40
509T5,PM,40
510T5,PM,40
601T5,LT,40
602T5,LT,40
603T5,LT,40
604T5,LT,40
605T5,LT,40
606T5,LT,40
607T5,LT,40
608T5,LT,40
609T5,LT,40
610T5,LT,40
